"city1","city2","duration_trajet"
"Dallas","Oklahoma",2.89444444444444
"Charlotte","Oklahoma",16.0730555555556
"Indiana","Oklahoma",11.8133333333333
"Miami","Oklahoma",21.2925
"New Jersey","Oklahoma",21.7522222222222
"Atlanta","Oklahoma",12.4258333333333
"Chicago","Oklahoma",11.9311111111111
"Milwaukee","Oklahoma",13.0058333333333
"Boston","Oklahoma",25.1175
"Brooklyn","Oklahoma",22.2877777777778
"Los Angeles","Oklahoma",19.6905555555556
"New Orleans","Oklahoma",9.84361111111111
"Washington D.C","Oklahoma",19.6091666666667
"Toronto","Oklahoma",19.1391666666667
"Vancover","Oklahoma",31.3383333333333
"Minnesota","Oklahoma",14.5091666666667
"New York","Oklahoma",22.0233333333333
"Cleveland","Oklahoma",15.8491666666667
"Detroit","Oklahoma",15.58
"Utah","Oklahoma",17.9202777777778
"Denver","Oklahoma",10.3352777777778
"Golden State","Oklahoma",21.8005555555556
"Seattle","Oklahoma",28.9863888888889
"Memphis","Oklahoma",6.83138888888889
"Houston","Oklahoma",6.24083333333333
"San Antonio","Oklahoma",6.64944444444444
"Philadelphie","Oklahoma",20.8741666666667
"Sacramento","Oklahoma",24.1711111111111
"Portland","Oklahoma",27.9463888888889
"Phoenix","Oklahoma",14.9061111111111
"Orlando","Oklahoma",18.1733333333333
"Chicago","Orlando",16.8063888888889
"Atlanta","Orlando",6.19583333333333
"Utah","Orlando",33.6880555555556
"Seattle","Orlando",44.0619444444444
"Vancover","Orlando",46.4138888888889
"Charlotte","Orlando",7.43805555555556
"Philadelphie","Orlando",14.2455555555556
"New Jersey","Orlando",15.1816666666667
"Boston","Orlando",18.8533333333333
"Los Angeles","Orlando",35.2783333333333
"New Orleans","Orlando",9.06666666666667
"Toronto","Orlando",18.8658333333333
"Phoenix","Orlando",30.0066666666667
"Denver","Orlando",26.1027777777778
"Milwaukee","Orlando",18.1427777777778
"Golden State","Orlando",38.4694444444444
"Indiana","Orlando",14.6291666666667
"San Antonio","Orlando",16.465
"Dallas","Orlando",15.8733333333333
"Memphis","Orlando",11.7416666666667
"Cleveland","Orlando",15.0030555555556
"Oklahoma","Orlando",18.2666666666667
"Brooklyn","Orlando",15.8097222222222
"Miami","Orlando",3.3675
"Minnesota","Orlando",24.7513888888889
"New York","Orlando",15.6275
"Washington D.C","Orlando",12.0669444444444
"Sacramento","Orlando",40.6980555555556
"Portland","Orlando",43.4236111111111
"Detroit","Orlando",16.8805555555556
"Houston","Orlando",13.6563888888889
"Orlando","Orlando",0
"Indiana","Philadelphie",10.1122222222222
"Dallas","Philadelphie",21.435
"Vancover","Philadelphie",42.9661111111111
"New Orleans","Philadelphie",17.8725
"Orlando","Philadelphie",14.1861111111111
"Denver","Philadelphie",25.0877777777778
"Charlotte","Philadelphie",8.22166666666667
"Philadelphie","Philadelphie",0
"Atlanta","Philadelphie",11.6505555555556
"Seattle","Philadelphie",40.6141666666667
"Miami","Philadelphie",17.0772222222222
"Boston","Philadelphie",5.04083333333333
"Los Angeles","Philadelphie",39.0963888888889
"Utah","Philadelphie",32.6727777777778
